	kieu_dang	hop_so	km_da_di	nhien_lieu	so_cho_ngoi	tinh_trang	xuat_xu	nam_sx	gia	dong_xe	hang
13584	Sedan	Tự động	350000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	378000000.0	I10	Hyundai
16547	SUV / Cross over	Tự động	0	Dầu	7	Mới	Lắp ráp trong nước	2021	1114000000.0	Sorento	Kia
24133	Van/Minivan	Số sàn	200000	Xăng	16	Đã sử dụng	Lắp ráp trong nước	2007	198000000.0	Hiace	Toyota
33051	Bán tải / Pickup	Số sàn	123456	Dầu	5	Đã sử dụng	Nhập khẩu	2005	185000000.0	Ranger	Ford
32363	Van/Minivan	Tự động	68000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2011	305000000.0	Carens	Kia
25567	SUV / Cross over	Tự động	60000	Xăng	7	Đã sử dụng	Nhập khẩu	2015	2199000000.0	GLclass	Mercedes Benz
39968	Sedan	Tự động	45000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	465000000.0	Cerato	Kia
39609	SUV / Cross over	Tự động	178000	Xăng	7	Đã sử dụng	Nhập khẩu	2014	530000000.0	Fortuner	Toyota
2989	Van/Minivan	Số sàn	160000	Dầu	29	Đã sử dụng	Lắp ráp trong nước	2016	650000000.0	County	Hyundai
40279	SUV / Cross over	Tự động	62000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2016	655000000.0	Fortuner	Toyota
17156	Truck	Số sàn	30000	Xăng	2	Đã sử dụng	Lắp ráp trong nước	2008	90000000.0	SuperCarryTruck	Suzuki
20420	Sedan	Tự động	100000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	1495000000.0	Eclass	Mercedes Benz
25979	SUV / Cross over	Số sàn	119988	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2005	179000000.0	Zace	Toyota
32133	Van/Minivan	Số sàn	23000	Dầu	16	Đã sử dụng	Lắp ráp trong nước	2018	496000000.0	Transit	Ford
35728	Sedan	Số sàn	10000	Xăng	16	Đã sử dụng	Nhập khẩu	2002	32000000.0	Rush	Toyota
22629	Sedan	Tự động	19	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	1360000000.0	Cclass	Mercedes Benz
32875	Sedan	Số sàn	39390	Xăng	5	Đã sử dụng	Nhập khẩu	1995	56990000.0	323	Mazda
19126	SUV / Cross over	Tự động	30000	Xăng	5	Đã sử dụng	Nhập khẩu	2016	2690000000.0	Macan	Porsche
29787	Van/Minivan	Số sàn	12345	Xăng	8	Đã sử dụng	Nhập khẩu	2010	235000000.0	Innova	Toyota
20191	Sedan	Tự động	60000	Xăng	5	Đã sử dụng	Nhập khẩu	2009	790000000.0	GS	Lexus
10357	Hatchback	Tự động	21000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	568000000.0	3	Mazda
22617	Hatchback	Tự động	6000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2021	430000000.0	Morning	Kia
23023	SUV / Cross over	Tự động	48000	Xăng	7	Đã sử dụng	Nhập khẩu	2017	1620000000.0	Explorer	Ford
12387	Hatchback	Số sàn	140000	Xăng	5	Đã sử dụng	Nhập khẩu	2014	185000000.0	I10	Hyundai
14975	SUV / Cross over	Tự động	0	Xăng	7	Mới	Nhập khẩu	2021	635000000.0	Xpander	Mitsubishi
33073	Sedan	Số sàn	100000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	380000000.0	Vios	Toyota
37863	Van/Minivan	Số sàn	95000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2006	245000000.0	Innova	Toyota
40236	Hatchback	Tự động	120000	Xăng	5	Đã sử dụng	Nhập khẩu	2005	135000000.0	Spark	Chevrolet
36921	Sedan	Số sàn	66	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	283000000.0	Grandi10	Hyundai
37057	Hatchback	Số sàn	250	Dầu	8	Đã sử dụng	Lắp ráp trong nước	2005	142000000.0	Hilander	Isuzu
27004	SUV / Cross over	Tự động	58000	Xăng	8	Đã sử dụng	Nhập khẩu	2009	2415000000.0	LX	Lexus
13338	Sedan	Tự động	76000	Xăng	5	Đã sử dụng	Nhập khẩu	2013	698000000.0	3	BMW
24523	Bán tải / Pickup	Tự động	50000	Dầu	5	Đã sử dụng	Nhập khẩu	2019	845000000.0	Hilux	Toyota
9456	Sedan	Tự động	80000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	626000000.0	Vios	Toyota
6362	Hatchback	Số sàn	300000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2007	56000000.0	Matiz	Daewoo
8575	SUV / Cross over	Tự động	800	Xăng	5	Đã sử dụng	Nhập khẩu	2020	8900000000.0	RangeRover	LandRover
38082	SUV / Cross over	Tự động	48000	Xăng	5	Đã sử dụng	Nhập khẩu	2016	2969000000.0	RX	Lexus
34871	Van/Minivan	Số sàn	79000	Xăng	7	Đã sử dụng	Nhập khẩu	2008	225000000.0	Carens	Kia
5508	Sedan	Số sàn	400000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2002	64000000.0	Nubira	Daewoo
31541	Van/Minivan	Tự động	18000	Dầu	8	Đã sử dụng	Lắp ráp trong nước	2020	1080000000.0	Sedona	Kia
10388	Sedan	Tự động	41000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	999000000.0	Cclass	Mercedes Benz
34606	SUV / Cross over	Tự động	33777	Xăng	7	Đã sử dụng	Nhập khẩu	2019	960000000.0	Fortuner	Toyota
19307	Sedan	Tự động	360	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	1750000000.0	Cclass	Mercedes Benz
30495	Van/Minivan	Số sàn	34000	Xăng	7	Đã sử dụng	Nhập khẩu	2018	448000000.0	Xpander	Mitsubishi
17349	SUV / Cross over	Tự động	43000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2018	818000000.0	Xtrail	Nissan
19821	Bán tải / Pickup	Tự động	0	Xăng	5	Mới	Nhập khẩu	2021	5250000000.0	F150	Ford
23462	Sedan	Tự động	113000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2008	450000000.0	Camry	Toyota
4920	Sedan	Tự động	91000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2012	355000000.0	Focus	Ford
28095	Sedan	Tự động	30000	Xăng	5	Đã sử dụng	Nhập khẩu	2016	393000000.0	RIO	Kia
16397	Sedan	Số sàn	130000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2003	150000000.0	Vios	Toyota
32329	Sedan	Tự động	60000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	386000000.0	Sunny	Nissan
37205	Van/Minivan	Số sàn	117000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2015	370000000.0	Innova	Toyota
1548	Hatchback	Số sàn	160000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2014	155000000.0	Morning	Kia
13234	SUV / Cross over	Tự động	40000	Xăng	7	Đã sử dụng	Nhập khẩu	2019	550000000.0	Rush	Toyota
2117	SUV / Cross over	Số sàn	130000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2010	335000000.0	Innova	Toyota
12363	SUV / Cross over	Tự động	80000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	688000000.0	CRV	Honda
19665	SUV / Cross over	Tự động	50000	Xăng	7	Đã sử dụng	Nhập khẩu	2012	3540000000.0	LX	Lexus
28991	Sedan	Tự động	16000	Xăng	5	Đã sử dụng	Nhập khẩu	2011	390000000.0	Accent	Hyundai
31947	Bán tải / Pickup	Tự động	36000	Dầu	5	Đã sử dụng	Nhập khẩu	2018	585000000.0	Colorado	Chevrolet
3056	SUV / Cross over	Số sàn	50000	Xăng	7	Đã sử dụng	Nhập khẩu	2019	450000000.0	Xpander	Mitsubishi
34035	SUV / Cross over	Tự động	150000	Xăng	7	Đã sử dụng	Nhập khẩu	2010	960000000.0	Prado	Toyota
5301	Van/Minivan	Số sàn	124000	Dầu	10	Đã sử dụng	Lắp ráp trong nước	2014	385000000.0	Transit	Ford
28627	Sedan	Tự động	66666	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2016	468000000.0	Cerato	Kia
1394	Hatchback	Số sàn	120000	Xăng	5	Đã sử dụng	Nhập khẩu	2016	225000000.0	I10	Hyundai
10641	SUV / Cross over	Số sàn	45000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2018	565000000.0	Innova	Toyota
36959	SUV / Cross over	Tự động	41000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	515000000.0	EcoSport	Ford
21153	Sedan	Tự động	260000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2009	365000000.0	Corolla	Toyota
1705	Sedan	Số sàn	1000	Xăng	5	Đã sử dụng	Nhập khẩu	2021	370000000.0	Attrage	Mitsubishi
32893	Hatchback	Số sàn	80000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	255000000.0	Morning	Kia
32828	Sedan	Số sàn	200000	Dầu	5	Đã sử dụng	Lắp ráp trong nước	2005	75000000.0	Spectra	Kia
14278	Sedan	Tự động	18000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	610000000.0	Cerato	Kia
31153	Sedan	Số sàn	12345	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2001	62000000.0	GentraX	Daewoo
2861	SUV / Cross over	Tự động	102000	Xăng	5	Đã sử dụng	Nhập khẩu	2020	4000000000.0	RX	Lexus
22663	Sedan	Tự động	57168	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2014	430000000.0	K3	Kia
18978	SUV / Cross over	Tự động	320000	Xăng	7	Đã sử dụng	Nhập khẩu	2006	375000000.0	Rclass	Mercedes Benz
14444	Hatchback	Tự động	0	Xăng	5	Mới	Nhập khẩu	2021	471000000.0	2	Mazda
1180	Van/Minivan	Số sàn	19000	Dầu	6	Đã sử dụng	Lắp ráp trong nước	2019	560000000.0	Transit	Ford
22166	Sedan	Số sàn	63856	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	365000000.0	Vios	Toyota
35818	Sedan	Số sàn	51000	Xăng	5	Đã sử dụng	Nhập khẩu	2016	320000000.0	Cruze	Chevrolet
21879	Sedan	Tự động	10000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	1499000000.0	Cclass	Mercedes Benz
31088	Sedan	Tự động	10000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	706000000.0	3	Mazda
11656	Hatchback	Tự động	9873	Xăng	5	Đã sử dụng	Nhập khẩu	2020	510000000.0	Swift	Suzuki
17428	SUV / Cross over	Tự động	17000	Xăng	7	Đã sử dụng	Nhập khẩu	2020	540000000.0	XL7	Suzuki
30976	Sedan	Tự động	41000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	490000000.0	Vios	Toyota
15568	SUV / Cross over	Tự động	400000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2002	115000000.0	Escape	Ford
31869	Sedan	Số sàn	23456	Xăng	5	Đã sử dụng	Nhập khẩu	1993	150000000.0	Accord	Honda
21525	SUV / Cross over	Số sàn	87000	Dầu	8	Đã sử dụng	Lắp ráp trong nước	2015	645000000.0	Fortuner	Toyota
32675	Hatchback	Số sàn	10000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	250000000.0	Grandi10	Hyundai
5123	Hatchback	Số sàn	1	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	275000000.0	Morning	Kia
6020	Van/Minivan	Số sàn	123	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2004	85000000.0	Hiace	Toyota
10682	SUV / Cross over	Tự động	68000	Xăng	7	Đã sử dụng	Nhập khẩu	2017	2750000000.0	X5	BMW
17124	SUV / Cross over	Số sàn	140000	Dầu	9	Đã sử dụng	Nhập khẩu	2008	190000000.0	Stavic	Ssangyong
32756	Van/Minivan	Số sàn	98000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2014	375000000.0	Innova	Toyota
28394	Sedan	Tự động	60	Xăng	5	Đã sử dụng	Nhập khẩu	2019	470000000.0	2	Mazda
19555	Sedan	Tự động	60000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2013	810000000.0	Eclass	Mercedes Benz
22907	SUV / Cross over	Số sàn	128552	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2008	138000000.0	Vivant	Chevrolet
29267	Sedan	Tự động	81000	Xăng	5	Đã sử dụng	Nhập khẩu	2009	310000000.0	Yaris	Toyota
29489	Hatchback	Số sàn	75000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	160000000.0	Spark	Chevrolet
7174	Van/Minivan	Số sàn	80000	Dầu	16	Đã sử dụng	Lắp ráp trong nước	2015	399000000.0	Transit	Ford
6179	Sedan	Số sàn	200000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2012	210000000.0	Vios	Toyota
10955	SUV / Cross over	Tự động	60000	Dầu	7	Đã sử dụng	Nhập khẩu	2019	756000000.0	Trailblazer	Chevrolet
10064	Hatchback	Tự động	20000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	600000000.0	3	Mazda
39328	Sedan	Tự động	50000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	1650000000.0	Eclass	Mercedes Benz
8615	Sedan	Tự động	16000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	550000000.0	Cerato	Kia
40277	SUV / Cross over	Tự động	3000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	960000000.0	CX5	Mazda
32961	Sedan	Số sàn	190000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2003	90000000.0	Spectra	Kia
16277	SUV / Cross over	Tự động	40000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2019	1039000000.0	SantaFe	Hyundai
29483	SUV / Cross over	Tự động	10000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2020	988000000.0	5008	Peugeot
40888	Hatchback	Tự động	90000	Xăng	5	Đã sử dụng	Nhập khẩu	2011	210000000.0	Morning	Kia
37983	Hatchback	Số sàn	55000	Xăng	5	Đã sử dụng	Nhập khẩu	2016	268000000.0	Grandi10	Hyundai
16189	Sedan	Tự động	137000	Xăng	5	Đã sử dụng	Nhập khẩu	2011	390000000.0	Teana	Nissan
35266	Sedan	Số sàn	120000	Xăng	4	Đã sử dụng	Nhập khẩu	1992	40000000.0	Accord	Honda
18151	Coupe	Tự động	240000	Xăng	4	Đã sử dụng	Nhập khẩu	2010	458000000.0	Scirocco	Volkswagen
19972	Sedan	Tự động	30000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	485000000.0	City	Honda
23970	SUV / Cross over	Tự động	60000	Xăng	7	Đã sử dụng	Nhập khẩu	2019	969000000.0	CRV	Honda
5876	Coupe	Tự động	220000	Xăng	5	Đã sử dụng	Nhập khẩu	2011	395000000.0	Cerato	Kia
7323	SUV / Cross over	Tự động	100000	Xăng	5	Đã sử dụng	Nhập khẩu	2017	3330000000.0	RX	Lexus
35863	Sedan	Tự động	60000	Xăng	5	Đã sử dụng	Nhập khẩu	2016	395000000.0	City	Honda
8771	SUV / Cross over	Số sàn	112000	Dầu	8	Đã sử dụng	Lắp ráp trong nước	2006	260000000.0	Everest	Ford
5627	Van/Minivan	Số sàn	120000	Xăng	2	Đã sử dụng	Lắp ráp trong nước	2016	168000000.0	SuperCarryVan	Suzuki
29767	Hatchback	Tự động	6	Xăng	5	Đã sử dụng	Nhập khẩu	2013	329000000.0	Accent	Hyundai
12794	Hatchback	Tự động	80000	Xăng	5	Đã sử dụng	Nhập khẩu	2018	310000000.0	Wigo	Toyota
40913	Sedan	Số sàn	65000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	408000000.0	Cerato	Kia
35221	Sedan	Tự động	24000	Xăng	5	Đã sử dụng	Nhập khẩu	2018	1880000000.0	Eclass	Mercedes Benz
36149	Sedan	Số sàn	17900	Xăng	5	Đã sử dụng	Nhập khẩu	2006	115000000.0	Gentra	Daewoo
6240	Sedan	Số sàn	380000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2003	242000000.0	Camry	Toyota
39080	Van/Minivan	Số sàn	72000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2017	465000000.0	Innova	Toyota
41138	Van/Minivan	Số sàn	125000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2010	245000000.0	Innova	Toyota
7215	Truck	Số sàn	140000	Dầu	3	Đã sử dụng	Lắp ráp trong nước	2015	210000000.0	Forland	Thaco
5334	Sedan	Tự động	0	Xăng	5	Mới	Nhập khẩu	2021	437000000.0	Attrage	Mitsubishi
26640	SUV / Cross over	Số sàn	230000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2003	200000000.0	Zace	Toyota
39639	Sedan	Tự động	270000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	485000000.0	Accent	Hyundai
10696	SUV / Cross over	Số sàn	360000	Dầu	8	Đã sử dụng	Lắp ráp trong nước	2004	115000000.0	Hilander	Isuzu
12254	SUV / Cross over	Tự động	68000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	690000000.0	CRV	Honda
37929	Van/Minivan	Tự động	60000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2015	520000000.0	Rondo	Kia
26345	Hatchback	Tự động	2000	Xăng	5	Đã sử dụng	Nhập khẩu	2009	290000000.0	Yaris	Toyota
11794	Van/Minivan	Số sàn	80000	Dầu	16	Đã sử dụng	Lắp ráp trong nước	2018	479000000.0	Transit	Ford
30043	SUV / Cross over	Số sàn	105000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2009	270000000.0	Innova	Toyota
13680	SUV / Cross over	Tự động	80000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2014	469000000.0	Fortuner	Toyota
30045	Sedan	Tự động	34000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	465000000.0	Vios	Toyota
40203	Sedan	Tự động	1	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	499000000.0	Vios	Toyota
14261	SUV / Cross over	Tự động	70000	Dầu	7	Đã sử dụng	Nhập khẩu	2019	1170000000.0	Everest	Ford
31246	Sedan	Tự động	10000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	528000000.0	Vios	Toyota
2079	Bán tải / Pickup	Tự động	0	Dầu	5	Mới	Nhập khẩu	2021	848000000.0	Ranger	Ford
5215	SUV / Cross over	Tự động	6589	Xăng	8	Đã sử dụng	Nhập khẩu	2020	4376000000.0	LandCruiser	Toyota
20792	Hatchback	Tự động	10000	Xăng	5	Đã sử dụng	Nhập khẩu	2020	540000000.0	Swift	Suzuki
39204	SUV / Cross over	Số sàn	7900	Dầu	7	Đã sử dụng	Nhập khẩu	2018	888000000.0	Fortuner	Toyota
2939	Hatchback	Số sàn	380000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2003	45000000.0	Matiz	Daewoo
6484	Hatchback	Số sàn	80000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	228000000.0	Morning	Kia
27471	SUV / Cross over	Số sàn	163696	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2008	185000000.0	Innova	Toyota
24567	SUV / Cross over	Tự động	78000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2016	435000000.0	EcoSport	Ford
4330	Sedan	Số sàn	280000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2008	184000000.0	Lacetti	Daewoo
18918	SUV / Cross over	Tự động	140000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	735000000.0	CRV	Honda
15148	Hatchback	Tự động	61000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2011	259000000.0	Fiesta	Ford
26506	Sedan	Số sàn	76000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	360000000.0	Cruze	Chevrolet
22696	Sedan	Tự động	1	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	529000000.0	Vios	Toyota
7137	SUV / Cross over	Số sàn	420000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2001	64000000.0	Jolie	Mitsubishi
11496	SUV / Cross over	Tự động	67000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2016	620000000.0	CRV	Honda
39560	Hatchback	Tự động	90000	Xăng	5	Đã sử dụng	Nhập khẩu	2008	146000000.0	Spark	Chevrolet
26412	SUV / Cross over	Bán tự động	21000	Hybrid	5	Đã sử dụng	Nhập khẩu	2019	850000000.0	CRV	Honda
39100	Sedan	Tự động	130	Xăng	5	Đã sử dụng	Nhập khẩu	2009	295000000.0	3	Mazda
16896	SUV / Cross over	Tự động	0	Xăng	7	Mới	Lắp ráp trong nước	2021	999000000.0	Sorento	Kia
4438	Bán tải / Pickup	Số sàn	160000	Dầu	5	Đã sử dụng	Nhập khẩu	2014	413000000.0	BT50	Mazda
2827	Hatchback	Tự động	10000	Xăng	5	Đã sử dụng	Nhập khẩu	2018	480000000.0	Jazz	Honda
26340	Hatchback	Số sàn	18	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2012	115000000.0	Spark	Chevrolet
23371	Sedan	Tự động	7000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	1839000000.0	Eclass	Mercedes Benz
34896	Hatchback	Tự động	2793	Xăng	5	Đã sử dụng	Nhập khẩu	2020	700000000.0	Polo	Volkswagen
28905	Sedan	Số sàn	100000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2015	305000000.0	Cruze	Chevrolet
28965	SUV / Cross over	Tự động	89000	Xăng	7	Đã sử dụng	Nhập khẩu	2018	825000000.0	CRV	Honda
30505	SUV / Cross over	Số sàn	5555	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2004	110000000.0	Musso	Ssangyong
32504	SUV / Cross over	Tự động	69208	Xăng	8	Đã sử dụng	Nhập khẩu	2017	1850000000.0	Prado	Toyota
7805	SUV / Cross over	Tự động	30000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2019	980000000.0	CX8	Mazda
40482	Sedan	Tự động	307	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	509000000.0	Accent	Hyundai
22288	Hatchback	Số sàn	120000	Xăng	5	Đã sử dụng	Nhập khẩu	2014	183000000.0	I10	Hyundai
3257	Hatchback	Số sàn	200000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2011	128000000.0	Morning	Kia
10196	Sedan	Tự động	0	Xăng	5	Mới	Nhập khẩu	2021	430000000.0	Attrage	Mitsubishi
10439	SUV / Cross over	Số sàn	1000000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2005	115000000.0	Jolie	Mitsubishi
4583	Sedan	Tự động	60000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	568000000.0	Cerato	Kia
33540	SUV / Cross over	Tự động	18000	Dầu	7	Đã sử dụng	Nhập khẩu	2019	1025000000.0	Everest	Ford
12097	SUV / Cross over	Số sàn	9	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2015	355000000.0	Innova	Toyota
37123	Sedan	Tự động	20000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	575000000.0	Cerato	Kia
2201	Bán tải / Pickup	Tự động	79000	Dầu	5	Đã sử dụng	Nhập khẩu	2013	489000000.0	Ranger	Ford
35147	SUV / Cross over	Số sàn	100000	Xăng	7	Đã sử dụng	Nhập khẩu	2008	140000000.0	Vivant	Chevrolet
11875	Sedan	Tự động	140000	Xăng	5	Đã sử dụng	Nhập khẩu	2015	360000000.0	RIO	Kia
40404	Sedan	Tự động	99000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2008	320000000.0	Eclass	Mercedes Benz
10201	SUV / Cross over	Số sàn	280000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2008	140000000.0	Vivant	Chevrolet
40457	Sedan	Số sàn	12000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2019	455000000.0	Cerato	Kia
14778	Hatchback	Tự động	2353	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	330000000.0	I10	Hyundai
26208	Sedan	Tự động	70000	Xăng	5	Đã sử dụng	Nhập khẩu	2013	435000000.0	Elantra	Hyundai
14042	Sedan	Tự động	39000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2016	515000000.0	3	Mazda
5575	Hatchback	Số sàn	33000	Xăng	5	Đã sử dụng	Nhập khẩu	2018	235000000.0	Celerio	Suzuki
28763	Hatchback	Số sàn	79000	Xăng	5	Đã sử dụng	Nhập khẩu	2015	39000000.0	Grandi10	Hyundai
2705	Sedan	Tự động	27000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2016	480000000.0	Cerato	Kia
38599	Van/Minivan	Số sàn	70	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2017	495000000.0	Innova	Toyota
11342	Sedan	Số sàn	20841	Xăng	5	Đã sử dụng	Nhập khẩu	1993	87000000.0	Corona	Toyota
29642	SUV / Cross over	Số sàn	17000	Dầu	16	Đã sử dụng	Lắp ráp trong nước	2019	780000000.0	Solati	Hyundai
4377	Sedan	Số sàn	220000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2011	355000000.0	Corolla	Toyota
30443	SUV / Cross over	Số sàn	92000	Dầu	16	Đã sử dụng	Nhập khẩu	2018	744444444.0	Solati	Hyundai
39292	Van/Minivan	Số sàn	290123	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2010	259000000.0	Innova	Toyota
3536	Van/Minivan	Số sàn	330000	Dầu	16	Đã sử dụng	Lắp ráp trong nước	2010	210000000.0	Transit	Ford
32	Van/Minivan	Tự động	460000	Xăng	9	Đã sử dụng	Nhập khẩu	1999	360000000.0	Carnival	Kia
28307	Sedan	Tự động	3	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2020	690000000.0	3	Mazda
27955	SUV / Cross over	Tự động	40000	Xăng	5	Đã sử dụng	Nhập khẩu	2018	3690000000.0	RX	Lexus
29148	SUV / Cross over	Tự động	110000	Xăng	5	Đã sử dụng	Nhập khẩu	2009	1200000000.0	RX	Lexus
29877	Sedan	Tự động	42000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2017	668000000.0	CorollaAltis	Toyota
31063	Hatchback	Tự động	90000	Xăng	5	Đã sử dụng	Nhập khẩu	2012	326000000.0	Yaris	Toyota
32847	Van/Minivan	Số sàn	265000	Xăng	8	Đã sử dụng	Lắp ráp trong nước	2006	230000000.0	Innova	Toyota
15364	Van/Minivan	Số sàn	3000	Xăng	2	Đã sử dụng	Lắp ráp trong nước	2021	250000000.0	SuperCarryVan	Suzuki
30590	Van/Minivan	Tự động	1000000	Xăng	7	Đã sử dụng	Nhập khẩu	1994	155000000.0	Odyssey	Honda
39625	SUV / Cross over	Tự động	10000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2013	495000000.0	Fortuner	Toyota
36007	SUV / Cross over	Tự động	133000	Xăng	7	Đã sử dụng	Lắp ráp trong nước	2013	540000000.0	Fortuner	Toyota
21942	SUV / Cross over	Tự động	0	Dầu	7	Mới	Lắp ráp trong nước	2021	1270000000.0	SantaFe	Hyundai
1508	Sedan	Tự động	120000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2016	385000000.0	Vios	Toyota
35630	Bán tải / Pickup	Tự động	90000	Dầu	5	Đã sử dụng	Nhập khẩu	2014	465000000.0	Ranger	Ford
26763	Bán tải / Pickup	Tự động	11800	Dầu	5	Đã sử dụng	Nhập khẩu	2020	1215000000.0	Ranger	Ford
29694	Sedan	Tự động	71000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2013	589000000.0	Camry	Toyota
8828	Hatchback	Số sàn	80000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2018	262000000.0	Morning	Kia
21880	Sedan	Tự động	5000	Xăng	5	Đã sử dụng	Lắp ráp trong nước	2021	1449000000.0	Cclass	Mercedes Benz
